piece_name,H1,H4,GS
generated_0.mid,1.8182674396243372,2.290612798953527,0.8262348790322581
generated_1.mid,1.7218015412671988,2.3734312287041117,0.8417338709677419
generated_10.mid,2.2326140710492792,2.42822744524202,0.7182459677419355
generated_11.mid,1.614098900568958,2.2856230412982086,0.9846270161290323
generated_12.mid,1.551528390291399,2.081338227560816,0.9342237903225806
generated_13.mid,1.7998610631274916,2.6351393481805165,0.9768145161290323
generated_14.mid,2.2486959046190718,2.6234983677104085,0.7723034274193549
generated_15.mid,1.7878577398662925,2.6677019149484984,0.9371219758064516
generated_16.mid,1.6779265499869045,2.0141235972034215,0.9037298387096774
generated_17.mid,1.657482824878263,2.3161032652185596,0.9393901209677419
generated_18.mid,1.8706124529325445,2.516775761204802,0.8684475806451613
generated_19.mid,2.3746826910989465,2.7400085193384878,0.7452116935483871
generated_2.mid,1.6954474466422558,2.4130057144823622,0.9921875
generated_3.mid,1.4685820107517484,2.1997033756419673,0.8162802419354839
generated_4.mid,2.006527360976876,2.534361818760204,0.8077116935483871
generated_5.mid,1.6575994124663187,2.5597880550725347,0.9196068548387096
generated_6.mid,2.124839065276806,2.7442592433360016,0.77734375
generated_7.mid,1.8438340665541912,2.3672737554428824,0.8949092741935484
generated_8.mid,1.9548820019837458,2.4351176056345025,0.8516885080645161
generated_9.mid,2.0432765155763866,2.5115638600326853,0.7576864919354839
