piece_name,H1,H4,GS
generated_32bars_0.mid,1.951602757972564,2.443661896659363,0.8956989247311828
generated_32bars_1.mid,1.5155533799605847,2.455892949247056,0.7663978494623656
generated_32bars_10.mid,1.8337892207895503,2.5212605577060323,0.9013440860215054
generated_32bars_11.mid,2.1107891906415164,2.6810082953939975,0.8481182795698925
generated_32bars_12.mid,1.6342273150085072,2.2279096434482084,0.8852150537634409
generated_32bars_13.mid,1.5836873450130016,2.203166333941298,0.8774193548387097
generated_32bars_14.mid,2.0175197229879385,2.699961560517397,0.7846774193548387
generated_32bars_15.mid,1.9931630307499946,2.279146940280534,0.8940860215053763
generated_32bars_16.mid,2.0928325937722847,2.693151205450931,0.8766129032258064
generated_32bars_17.mid,1.4333541245457284,1.8790503813685973,0.914247311827957
generated_32bars_18.mid,1.8800857768560435,2.1454732838353867,0.9604838709677419
generated_32bars_19.mid,1.4766203859994658,2.3580174938083465,0.9588709677419355
generated_32bars_2.mid,1.8781779899787656,2.5175319027872702,0.9083333333333333
generated_32bars_3.mid,1.9599813853161685,2.5782323646970258,0.8782258064516129
generated_32bars_4.mid,2.1329212358166534,2.5730906318236535,0.8467741935483871
generated_32bars_5.mid,1.958897984886756,2.3838015093271987,0.8198924731182796
generated_32bars_6.mid,1.6215546831186753,1.948931314582915,0.9682795698924731
generated_32bars_7.mid,1.7713357142487114,2.150025157728178,0.8403225806451613
generated_32bars_8.mid,2.099541574026165,2.4871519705019844,0.8354838709677419
generated_32bars_9.mid,1.540848736829823,2.386846871695795,0.8182471264367817
